RH PetroGas,T13,Energy - Fossil Fuels
RHT HealthTrust,RF1U,Real Estate
Rich Capital,5G4,Mineral Resources
Riverstone,AP4,Healthcare Services
Roxy-Pacific,E8Z,Real Estate
Ryobi Kiso,BDN,Industrial & Commercial Services
Sabana Reit,M1GU,Real Estate
Sakae,5DO,Cyclical Consumer Services
Samko Timber,E6R,Applied Resources
SamuderaShipping,S56,Transportation
Samurai,1C3,Chemicals
San Teh,S46,Mineral Resources
Sanli Env,1.00E+03,Industrial & Commercial Services
Santak,580,Industrial Goods
Sapphire,BRD,Industrial & Commercial Services
Sarine Tech,U77,Industrial Goods
Sasseur Reit,CRPU,Real Estate
SATS,S58,Transportation
SBI Offshore,5PL,Energy - Fossil Fuels
SBS Transit,S61,Transportation
Second Chance,528,Retailers
Secura,43B,Software & IT Services
Sembcorp Ind,U96,Utilities
Sembcorp Marine,S51,Industrial Goods
Sen Yue,5BS,Mineral Resources
Serial System,S69,Industrial Goods
Seroja Inv,IW5,Transportation
Serrano,40R,Industrial & Commercial Services
SEVAK,BAI,Technology Equipment
SGX,S68,Banking & Investment Services
Shanghai Turbo,AWM,Industrial Goods
Shangri-La HKD,S07,Cyclical Consumer Services
Sheng Siong,OV8,Food & Drug Retailing
Shinvest,BJW,Technology Equipment
Shopper360,1F0,Cyclical Consumer Services
SHS,566,Energy - Fossil Fuels
SIA,C6L,Transportation
SIA Engineering,S59,Transportation
SIIC Environment,BHK,Utilities
Silkroad Nickel,STP,Industrial Goods
Silverlake Axis,5CP,Software & IT Services
Sim Leisure,URR,Cyclical Consumer Services
Sin Ghee Huat,B7K,Mineral Resources
Sin Heng Mach,BKA,Industrial & Commercial Services
Sinarmas Land,A26,Real Estate
Sincap,5UN,Mineral Resources
Sing Inv & Fin,S35,Banking & Investment Services
Singapore O&G,1D8,Healthcare Services
Singapore-eDev,40V,Software & IT Services
SingaporeKitchen,5WG,Cyclical Consumer Products
SingHaiyi,5H0,Real Estate
SingHoldings,5IC,Real Estate
SingMedical,5OT,Healthcare Services
SingMyanmar,Y45,Technology Equipment
SingPost,S08,Transportation
SingReinsurance,S49,Insurance
SingShipping,S19,Industrial Goods
SingTel,Z74,Telecommunications Services
SingTel 10,Z77,
Sinjia Land,5HH,Industrial Goods
Sino Grandness,T4B,Food & Beverages
Sino Techfibre,AD8,Cyclical Consumer Products
SinoCloud,5EK,Software & IT Services
Sinopipe,X06,Cyclical Consumer Products
Sinostar Pec,C9Q,Energy - Fossil Fuels
Sitra,5LE,Applied Resources
SK Jewellery,42G,Cyclical Consumer Products
SLB Dev,1J0,Real Estate
Soilbuild Const,S7P,Industrial & Commercial Services
SoilbuildBizReit,SV3U,Real Estate
Soon Lian,5MD,Mineral Resources
Soup Restaurant,5KI,Cyclical Consumer Services
Southern Pkg,BQP,Applied Resources
SP Corp,AWE,Industrial & Commercial Services
Spackman,40E,Cyclical Consumer Services
SPH,T39,Cyclical Consumer Services
SPHREIT,SK6U,Real Estate
Spindex Ind,564,Industrial Goods
Spura Finance,S23,Banking & Investment Services
Sri Trang Agro,NC2,
ST Engineering,S63,Industrial Goods
ST Group Food,DRX,Cyclical Consumer Services
Stamford Land,H07,Cyclical Consumer Services
Stamford Tyres,S29,Automobiles & Auto Parts
Star Pharm,AYL,
Starburst,40D,Industrial & Commercial Services
StarhillGbl Reit,P40U,Real Estate
StarHub,CC3,Telecommunications Services
Starland,5UA,Real Estate
Straco,S85,Cyclical Consumer Services
Straits Trading,S20,Mineral Resources
StratechGroup,BRR,Software & IT Services
SunMoonFood,AAJ,Food & Beverages
Sunningdale Tech,BHQ,Industrial Conglomerates
Sunpower,5GD,Industrial Goods
Sunright,S71,Technology Equipment
Sunrise Shares,581,Industrial Goods
Suntar Eco-City,BKZ,
Suntec Reit,T82U,Real Estate
SunVic Chemical,A7S,Chemicals
SUTL Enterprise,BHU,Retailers
Swee Hong,QF6,Industrial & Commercial Services
Swiber,BGK,Energy - Fossil Fuels
Swing Media Tech,BEV,Technology Equipment
Swissco Hldg,ADP,Energy - Fossil Fuels
Synagie,V2Y,Telecommunications Services
Sysma,5UO,Industrial & Commercial Services
TA,PA3,Real Estate
Tai Sin Electric,500,Cyclical Consumer Products
TalkMed,5G3,Healthcare Services
Tat Seng Pkg,T12,Applied Resources
TCIL HK$,T15,Retailers
Tech Oil & Gas,5CQ,Energy - Fossil Fuels
Teckwah,561,Industrial & Commercial Services
TEE Intl,M1Z,Industrial & Commercial Services
TEE Land,S9B,Real Estate
Teho Intl,5OQ,Industrial Goods
TeleChoice Intl,T41,Technology Equipment
ThaiBev,Y92,Food & Beverages
Thakral,AWI,Technology Equipment
The Place Hldg,E27,Technology Equipment
TheHourGlass,AGS,Retailers
Thomson Medical,A50,Healthcare Services
Tianjin ZX USD,T14,
TIH,T55,Banking & Investment Services
Tiong Seng,BFI,Industrial & Commercial Services
Tiong Woon,BQM,Industrial Goods
TLV,42L,Retailers
Top Global,BHO,Real Estate
Top Glove,BVA,Healthcare Services
Tosei,S2D,Real Estate
TPV Tech,T18,Technology Equipment
Transcorp,T19,Cyclical Consumer Products
Transit Concrete,570,Mineral Resources
Travelite,BCZ,Retailers
Trek 2000 Intl,5AB,Technology Equipment
Trendlines,42T,Cyclical Consumer Services
TrickleStar,CYW,Industrial Goods
Tritech,5G9,Industrial & Commercial Services
Triyards,RC5,Energy - Fossil Fuels
TSH,KUH,Cyclical Consumer Services
TT Intl,T09,Retailers
TTJ,K1Q,Industrial & Commercial Services
Tuan Sing,T24,Real Estate
Tung Lok Rest,540,Cyclical Consumer Services
Tye Soon,BFU,Retailers
UG Healthcare,41A,Healthcare Services
UIC,U06,Real Estate
UMS,558,Technology Equipment
Uni-Asia Grp,CHJ,Real Estate
Union Gas,1F2,Utilities
Union Steel,BLA,Mineral Resources
United Engineers,U04,Real Estate
United Food,AZR,Food & Beverages
United Global,43P,Energy - Fossil Fuels
Universal Res,BGO,Energy - Fossil Fuels
UnUsUaL,1D1,Industrial & Commercial Services
UOA,EH5,Real Estate
UOB,U11,Banking & Investment Services
UOB Kay Hian,U10,Banking & Investment Services
UOI,U13,Insurance
UOL,U14,Real Estate
USP Group,BRS,Energy - Fossil Fuels
Vallianz,WPC,Transportation
ValueMax,T6I,Banking & Investment Services
Valuetronics,BN2,Technology Equipment
Vashion,1F4,Retailers
Venture,V03,Technology Equipment
Versalink,40N,Industrial & Commercial Services
Vibrant Group,BIP,Transportation
VibroPower,BJD,Industrial Goods
VICOM,V01,Industrial & Commercial Services
Vicplas Intl,569,Cyclical Consumer Products
Viking Offshore,557,Energy - Fossil Fuels
